device /dev/input/event10, name "ELAN Touchscreen", phys "usb-0000:00:14.0-4.4/input0"
(InputEvent(1480382776L, 682089L, 3, 52, 0L), '---', 0L)
(InputEvent(1480382776L, 690144L, 3, 52, 1L), '---', 1L)
(InputEvent(1480382776L, 706159L, 3, 54, 698L), '---', 698L)
(InputEvent(1480382776L, 706159L, 3, 61, 698L), '---', 698L)
(InputEvent(1480382776L, 706159L, 3, 1, 698L), '---', 698L)
(InputEvent(1480382776L, 723044L, 3, 52, 0L), '---', 0L)
(InputEvent(1480382776L, 730822L, 3, 52, 1L), '---', 1L)
(InputEvent(1480382776L, 738902L, 3, 54, 697L), '---', 697L)
(InputEvent(1480382776L, 738902L, 3, 61, 697L), '---', 697L)
(InputEvent(1480382776L, 738902L, 3, 1, 697L), '---', 697L)
(InputEvent(1480382776L, 747071L, 3, 52, 0L), '---', 0L)
(InputEvent(1480382776L, 755041L, 3, 52, 1L), '---', 1L)
(InputEvent(1480382776L, 763037L, 3, 54, 696L), '---', 696L)
(InputEvent(1480382776L, 763037L, 3, 61, 696L), '---', 696L)
